"BP4_3_3","descrip"
"1
","Sí"
"2
","No"
"9
","No sabe / no responde"
"1
","Sí"
"2
","No"
"9
","No sabe / no responde"
"1
","Sí"
"2
","No"
"9
","No sabe / no responde"
"1
","Sí"
"2
","No"
"9
","No sabe / no responde"
"01
","Esposo(a)/pareja sentimental"
"02
","Padre"
"03
","Madre"
"04
","Padrastro/madrastra"
"05
","Abuelo(a)"
"06
","Hijo(a) menor de edad"
"07
","Hijo(a) mayor de edad"
"08
","Hermano(a)"
"09
","Otro familiar"
"10
","Sin parentesco"
"01
","Esposo(a)/pareja sentimental"
"02
","Padre"
"03
","Madre"
"04
","Padrastro/madrastra"
"05
","Abuelo(a)"
"06
","Hijo(a) menor de edad"
"07
","Hijo(a) mayor de edad"
"08
","Hermano(a)"
"09
","Otro familiar"
"10
","Sin parentesco"
"01
","Esposo(a)/pareja sentimental"
"02
","Padre"
"03
","Madre"
"04
","Padrastro/madrastra"
"05
","Abuelo(a)"
"06
","Hijo(a) menor de edad"
"07
","Hijo(a) mayor de edad"
"08
","Hermano(a)"
"09
","Otro familiar"
"10
","Sin parentesco"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"01
","Esposo(a)/pareja sentimental"
"02
","Padre"
"03
","Madre"
"04
","Padrastro/madrastra"
"05
","Abuelo(a)"
"06
","Hijo(a) menor de edad"
"07
","Hijo(a) mayor de edad"
"08
","Hermano(a)"
"09
","Otro familiar"
"10
","Sin parentesco"
"01
","Esposo(a)/pareja sentimental"
"02
","Padre"
"03
","Madre"
"04
","Padrastro/madrastra"
"05
","Abuelo(a)"
"06
","Hijo(a) menor de edad"
"07
","Hijo(a) mayor de edad"
"08
","Hermano(a)"
"09
","Otro familiar"
"10
","Sin parentesco"
"01
","Esposo(a)/pareja sentimental"
"02
","Padre"
"03
","Madre"
"04
","Padrastro/madrastra"
"05
","Abuelo(a)"
"06
","Hijo(a) menor de edad"
"07
","Hijo(a) mayor de edad"
"08
","Hermano(a)"
"09
","Otro familiar"
"10
","Sin parentesco"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
