"BP4_5_3_9","descrip"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"9
","No sabe / no responde"
"2
","No"
"1
","Sí"
"9
","No sabe / no responde"
"2
","No"
"1
","Sí"
"9
","No sabe / no responde"
"2
","No"
"1
","Sí"
"9
","No sabe / no responde"
