,ESTADO,MUNICIPIO,MUJERES_INSEGURAS,TOTAL_MUJERES,TRIMESTRES,PERCEPCION_INSEGURIDAD,FEMINICIDIO,VIOLENCIA_FAMILIAR,VIOLENCIA_GENERO,TOTAL_DELITOS,POBLACION,FECHA
0,Aguascalientes,Aguascalientes,65,130,2022-Q1,50000.0,0.3342625833149489,46.68534080298787,0.4456834444199318,47.46528683072275,897498,2022-01-01
1,Aguascalientes,Jesus maria,7,9,2022-Q1,77777.77777777778,0.8605111436193099,37.86249031924964,0.0,38.72300146286894,116210,2022-01-01
2,Baja california,Mexicali,111,144,2022-Q1,77083.33333333334,0.20321754336408354,105.97794886436957,0.0,106.18116640773364,984167,2022-01-01
3,Baja california,Tijuana,120,136,2022-Q1,88235.29411764706,0.17342915101227704,64.16878587454251,0.0,64.34221502555478,1729813,2022-01-01
4,Baja california sur,La paz,58,136,2022-Q1,42647.05882352941,0.36776604195475004,77.96640089440702,0.0,78.33416693636175,271912,2022-01-01
5,Baja california sur,Los cabos,43,129,2022-Q1,33333.33333333333,0.0,90.35100314127325,0.0,90.35100314127325,285553,2022-01-01
6,Campeche,Campeche,67,137,2022-Q1,48905.109489051094,0.3496919214172314,83.57636921871831,0.0,83.92606114013554,285966,2022-01-01
7,Campeche,Carmen,79,126,2022-Q1,62698.4126984127,0.0,6.763068573288415,0.0,6.763068573288415,236579,2022-01-01
8,Chiapas,Chiapa de corzo,8,15,2022-Q1,53333.333333333336,0.0,13.832488563496064,0.0,13.832488563496064,101211,2022-01-01
9,Chiapas,Tapachula,114,137,2022-Q1,83211.67883211678,0.28708738365783776,46.50815615256972,0.0,46.79524353622756,348326,2022-01-01
10,Chiapas,Tuxtla gutierrez,117,141,2022-Q1,82978.72340425532,0.0,11.715089034676664,0.0,11.715089034676664,606056,2022-01-01
11,Chihuahua,Chihuahua,84,146,2022-Q1,57534.24657534246,0.22210327358014928,81.51190140391479,0.6663098207404479,82.40031449823539,900482,2022-01-01
12,Chihuahua,Juarez,116,141,2022-Q1,82269.50354609928,0.2813111632005615,121.17478354864186,0.14065558160028074,121.59675029344271,1421913,2022-01-01
13,Ciudad de mexico,Alvaro obregon,108,150,2022-Q1,72000.0,0.12834943904877663,84.5822803331438,0.0,84.71062977219258,779123,2022-01-01
